STN,YYYYMMDD,FG,FHX,FHN
380,20160921,21,30,0
380,20160922,20,40,0
380,20160923,27,40,10
380,20160924,29,50,20
380,20160925,40,60,20
380,20160926,20,30,0
380,20160927,22,40,10
380,20160928,53,70,40
380,20160929,63,90,40
380,20160930,31,50,10
380,20161001,27,50,10
380,20161002,50,70,30
380,20161003,30,40,20
380,20161004,41,60,30
380,20161005,51,80,30
380,20161006,46,60,30
380,20161007,47,60,30
380,20161008,41,60,20
380,20161009,15,30,0
380,20161010,25,50,10
380,20161011,17,30,0
380,20161012,41,60,10
380,20161013,54,80,20
380,20161014,40,60,20
380,20161015,40,70,10
380,20161016,31,40,20
380,20161017,28,40,10
380,20161018,50,80,30
380,20161019,45,80,20
380,20161020,33,50,10
380,20161021,26,40,20
380,20161022,22,40,10
380,20161023,27,40,10
380,20161024,19,50,0
380,20161025,15,30,0
380,20161026,20,40,0
380,20161027,37,40,20
380,20161028,36,50,20
380,20161029,17,30,0
380,20161030,20,40,0
380,20161031,16,30,10
380,20161101,28,60,20
380,20161102,30,50,10
380,20161103,30,40,20
380,20161104,38,40,30
380,20161105,40,60,30
380,20161106,52,70,30
380,20161107,27,50,10
380,20161108,26,50,10
380,20161109,31,40,20
380,20161110,34,50,10
380,20161111,34,50,10
380,20161112,25,40,10
380,20161113,21,30,10
380,20161114,35,60,10
380,20161115,52,60,40
380,20161116,58,70,40
380,20161117,70,90,50
380,20161118,58,90,20
380,20161119,58,70,50
380,20161120,78,140,20
380,20161121,60,80,40
380,20161122,44,80,10
380,20161123,33,60,10
380,20161124,68,90,50
380,20161125,52,80,20
380,20161126,20,30,10
380,20161127,21,40,10
380,20161128,43,60,30
380,20161129,28,40,10
380,20161130,41,50,20
380,20161201,41,50,20
380,20161202,21,30,10
380,20161203,23,40,10
380,20161204,41,60,20
